Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.700,0.700,0.700,0.700,-,6.06%
"Aug 28, 2020",0.660,0.665,0.665,0.660,65.00K,-1.49%
"Aug 27, 2020",0.670,0.670,0.690,0.665,66.40K,-2.90%
"Aug 26, 2020",0.690,0.645,0.730,0.645,61.90K,3.76%
"Aug 24, 2020",0.665,0.665,0.665,0.645,20.40K,0.00%
"Aug 21, 2020",0.665,0.665,0.665,0.665,1.00K,3.91%
"Aug 19, 2020",0.640,0.640,0.640,0.640,20.00K,-4.48%
"Aug 18, 2020",0.670,0.650,0.670,0.640,22.00K,0.75%
"Aug 17, 2020",0.665,0.635,0.665,0.635,28.90K,-0.75%
"Aug 14, 2020",0.670,0.675,0.675,0.630,112.70K,-1.47%
"Aug 13, 2020",0.680,0.675,0.680,0.640,72.40K,0.74%
"Aug 12, 2020",0.675,0.660,0.700,0.630,305.20K,-5.59%
"Aug 11, 2020",0.715,0.720,0.725,0.685,23.60K,2.14%
"Aug 10, 2020",0.700,0.660,0.730,0.660,142.10K,-0.71%
"Aug 07, 2020",0.705,0.680,0.705,0.670,144.60K,6.82%
"Aug 06, 2020",0.660,0.600,0.800,0.600,925.30K,18.92%
"Aug 05, 2020",0.555,0.495,0.600,0.495,259.60K,12.12%
"Aug 04, 2020",0.495,0.440,0.495,0.440,3.00K,13.79%
"Aug 03, 2020",0.435,0.430,0.495,0.430,23.20K,-13.00%
